timestamp;cipher;mode;file;rounds;message;
2017-06-27-11.58.52.487;-;-;-;0;running for 1 ext rounds and 2 internal rounds;
2017-06-27-11.58.52.488;-;encrypt;-;0;start for images;
2017-06-27-11.58.53.039;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2017-06-27-11.59.23.049;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.59.23.051;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.00.06.385;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;1955;
2017-06-27-12.00.06.388;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;1345;
2017-06-27-12.00.06.390;AES C;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;43301;
2017-06-27-12.00.06.438;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-12.00.36.448;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-12.00.36.540;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.01.17.325;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;436;
2017-06-27-12.01.17.328;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;285;
2017-06-27-12.01.17.330;AES Java;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;40722;
2017-06-27-12.01.17.358;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-12.01.47.368;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-12.01.47.371;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.02.57.414;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;16046;
2017-06-27-12.02.57.415;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;13985;
2017-06-27-12.02.57.416;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;70033;
2017-06-27-12.02.57.423;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-12.03.27.467;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-12.03.27.494;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.04.17.693;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;5909;
2017-06-27-12.04.17.694;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;4286;
2017-06-27-12.04.17.694;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;50196;
2017-06-27-12.04.17.749;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-12.04.17.750;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with image;
2017-06-27-12.04.17.760;-;encrypt;-;0;done with mode;
