timestamp;cipher;mode;file;rounds;message;
2017-09-23-15.33.54.896;-;-;-;0;running for 2 ext rounds and 5 internal rounds;
2017-09-23-15.33.54.897;-;encrypt;-;0;start for images;
2017-09-23-15.33.54.908;-;encrypt;/sdcard/Download/testimages/52x52image.png;0;done loading image;
2017-09-23-15.34.24.939;Image Cipher 1;encrypt;/sdcard/Download/testimages/52x52image.png;0;starting external rounds;
2017-09-23-15.34.24.956;Image Cipher 1;encrypt;/sdcard/Download/testimages/52x52image.png;0;starting round;
2017-09-23-15.35.05.646;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;0;224;
2017-09-23-15.35.05.649;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;1;110;
2017-09-23-15.35.05.651;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;2;109;
2017-09-23-15.35.05.655;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;3;133;
2017-09-23-15.35.05.659;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;4;109;
2017-09-23-15.35.05.661;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/52x52image.png;0;40686;
2017-09-23-15.35.05.686;Image Cipher 1;encrypt;/sdcard/Download/testimages/52x52image.png;1;starting round;
2017-09-23-15.35.46.577;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;0;251;
2017-09-23-15.35.46.581;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;1;112;
2017-09-23-15.35.46.583;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;2;145;
2017-09-23-15.35.46.586;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;3;106;
2017-09-23-15.35.46.589;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/52x52image.png;4;274;
2017-09-23-15.35.46.591;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/52x52image.png;1;40888;
2017-09-23-15.35.46.639;Image Cipher 1;encrypt;/sdcard/Download/testimages/52x52image.png;0;done with cipher;
2017-09-23-15.35.46.661;-;encrypt;/sdcard/Download/testimages/52x52image.png;0;done with image;
2017-09-23-15.35.46.684;-;encrypt;-;0;done with mode;
