2017-06-22-16.01.03.848;Image Cipher 1;decrypt;/sdcard/Download/testimages/12x12image.png;0;done with cipher;
2017-06-22-16.01.05.852;Image Cipher 2;decrypt;/sdcard/Download/testimages/12x12image.png;0;starting external rounds;
2017-06-22-16.01.05.856;Image Cipher 2;decrypt;/sdcard/Download/testimages/12x12image.png;0;starting round;
2017-06-22-16.01.07.944;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;0;10;
2017-06-22-16.01.07.948;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;1;18;
2017-06-22-16.01.07.950;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;2;21;
2017-06-22-16.01.07.964;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;3;18;
2017-06-22-16.01.07.982;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;4;18;
2017-06-22-16.01.07.985;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/12x12image.png;0;2086;
2017-06-22-16.01.08.022;Image Cipher 2;decrypt;/sdcard/Download/testimages/12x12image.png;0;done with cipher;
2017-06-22-16.01.08.024;-;decrypt;/sdcard/Download/testimages/12x12image.png;0;done with image;
2017-06-22-16.01.08.038;-;decrypt;-;0;done with mode;
2017-06-22-16.02.48.487;-;-;-;0;running for 1 ext rounds and 5 internal rounds;
2017-06-22-16.02.48.487;-;encrypt;-;0;start for images;
2017-06-22-16.02.48.490;-;encrypt;/sdcard/Download/testimages/12x12image.png;0;done loading image;
2017-06-22-16.02.50.495;AES C;encrypt;/sdcard/Download/testimages/12x12image.png;0;starting external rounds;
2017-06-22-16.02.50.496;AES C;encrypt;/sdcard/Download/testimages/12x12image.png;0;starting round;
2017-06-22-16.02.52.535;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;0;4;
2017-06-22-16.02.52.535;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;1;6;
2017-06-22-16.02.52.536;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;2;3;
2017-06-22-16.02.52.538;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;3;9;
2017-06-22-16.02.52.539;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;4;11;
2017-06-22-16.02.52.539;AES C;times for ext round in ms;/sdcard/Download/testimages/12x12image.png;0;2038;
2017-06-22-16.02.52.543;AES C;encrypt;/sdcard/Download/testimages/12x12image.png;0;done with cipher;
2017-06-22-16.02.54.544;Image Cipher 1;encrypt;/sdcard/Download/testimages/12x12image.png;0;starting external rounds;
2017-06-22-16.02.54.545;Image Cipher 1;encrypt;/sdcard/Download/testimages/12x12image.png;0;starting round;
2017-06-22-16.02.56.711;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;0;40;
2017-06-22-16.02.56.713;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;1;54;
2017-06-22-16.02.56.716;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;2;29;
2017-06-22-16.02.56.719;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;3;31;
2017-06-22-16.02.56.722;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;4;9;
2017-06-22-16.02.56.725;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/12x12image.png;0;2164;
2017-06-22-16.02.56.733;Image Cipher 1;encrypt;/sdcard/Download/testimages/12x12image.png;0;done with cipher;
2017-06-22-16.02.58.738;Image Cipher 2;encrypt;/sdcard/Download/testimages/12x12image.png;0;starting external rounds;
2017-06-22-16.02.58.741;Image Cipher 2;encrypt;/sdcard/Download/testimages/12x12image.png;0;starting round;
2017-06-22-16.03.00.777;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;0;6;
2017-06-22-16.03.00.779;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;1;7;
2017-06-22-16.03.00.792;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;2;6;
2017-06-22-16.03.00.808;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;3;6;
2017-06-22-16.03.00.829;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;4;7;
2017-06-22-16.03.00.830;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/12x12image.png;0;2032;
2017-06-22-16.03.00.838;Image Cipher 2;encrypt;/sdcard/Download/testimages/12x12image.png;0;done with cipher;
2017-06-22-16.03.00.838;-;encrypt;/sdcard/Download/testimages/12x12image.png;0;done with image;
2017-06-22-16.03.00.839;-;encrypt;-;0;done with mode;
2017-06-22-16.03.00.841;-;decrypt;-;0;start for images;
2017-06-22-16.03.00.850;-;decrypt;/sdcard/Download/testimages/12x12image.png;0;done loading image;
2017-06-22-16.03.02.853;AES C;decrypt;/sdcard/Download/testimages/12x12image.png;0;starting external rounds;
2017-06-22-16.03.02.854;AES C;decrypt;/sdcard/Download/testimages/12x12image.png;0;starting round;
2017-06-22-16.03.04.875;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;0;4;
2017-06-22-16.03.04.876;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;1;5;
2017-06-22-16.03.04.877;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;2;3;
2017-06-22-16.03.04.877;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;3;4;
2017-06-22-16.03.04.878;AES C;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;4;4;
2017-06-22-16.03.04.879;AES C;times for ext round in ms;/sdcard/Download/testimages/12x12image.png;0;2020;
2017-06-22-16.03.04.881;AES C;decrypt;/sdcard/Download/testimages/12x12image.png;0;done with cipher;
2017-06-22-16.03.06.882;Image Cipher 1;decrypt;/sdcard/Download/testimages/12x12image.png;0;starting external rounds;
2017-06-22-16.03.06.883;Image Cipher 1;decrypt;/sdcard/Download/testimages/12x12image.png;0;starting round;
2017-06-22-16.03.09.124;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;0;39;
2017-06-22-16.03.09.128;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;1;149;
2017-06-22-16.03.09.130;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;2;32;
2017-06-22-16.03.09.133;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;3;10;
2017-06-22-16.03.09.135;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;4;8;
2017-06-22-16.03.09.139;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/12x12image.png;0;2239;
2017-06-22-16.03.09.147;Image Cipher 1;decrypt;/sdcard/Download/testimages/12x12image.png;0;done with cipher;
2017-06-22-16.03.11.151;Image Cipher 2;decrypt;/sdcard/Download/testimages/12x12image.png;0;starting external rounds;
2017-06-22-16.03.11.155;Image Cipher 2;decrypt;/sdcard/Download/testimages/12x12image.png;0;starting round;
2017-06-22-16.03.13.180;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;0;5;
2017-06-22-16.03.13.183;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;1;4;
2017-06-22-16.03.13.187;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;2;4;
2017-06-22-16.03.13.189;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;3;5;
2017-06-22-16.03.13.192;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/12x12image.png;4;4;
2017-06-22-16.03.13.194;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/12x12image.png;0;2022;
2017-06-22-16.03.13.204;Image Cipher 2;decrypt;/sdcard/Download/testimages/12x12image.png;0;done with cipher;
2017-06-22-16.03.13.208;-;decrypt;/sdcard/Download/testimages/12x12image.png;0;done with image;
2017-06-22-16.03.13.210;-;decrypt;-;0;done with mode;
