timestamp;cipher;mode;file;rounds;message;
2017-06-22-16.31.49.481;-;-;-;0;running for 100 ext rounds and 50 internal rounds;
2017-06-22-16.31.49.483;-;encrypt;-;0;start for images;
2017-06-22-16.31.49.764;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2017-06-22-16.32.19.766;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-22-16.32.19.770;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-22-16.33.53.699;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;1311;
2017-06-22-16.33.53.702;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;2766;
2017-06-22-16.33.53.704;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;1772;
2017-06-22-16.33.53.707;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;3;1599;
2017-06-22-16.33.53.709;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;4;950;
2017-06-22-16.33.53.712;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;5;901;
2017-06-22-16.33.53.714;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;6;902;
2017-06-22-16.33.53.717;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;7;902;
2017-06-22-16.33.53.719;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;8;902;
2017-06-22-16.33.53.722;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;9;1369;
2017-06-22-16.33.53.724;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;10;1661;
2017-06-22-16.33.53.727;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;11;908;
2017-06-22-16.33.53.729;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;12;908;
2017-06-22-16.33.53.732;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;13;908;
2017-06-22-16.33.53.734;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;14;1211;
2017-06-22-16.33.53.736;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;15;933;
2017-06-22-16.33.53.738;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;16;910;
2017-06-22-16.33.53.742;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;17;908;
2017-06-22-16.33.53.744;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;18;908;
2017-06-22-16.33.53.746;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;19;1195;
2017-06-22-16.33.53.748;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;20;1400;
2017-06-22-16.33.53.751;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;21;1048;
2017-06-22-16.33.53.753;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;22;902;
