timestamp;cipher;mode;file;rounds;message;
2000-01-01-03.25.01.886;-;-;-;0;running for 2 ext rounds and 10 internal rounds;
2000-01-01-03.25.01.887;-;encrypt;-;0;start for images;
2000-01-01-03.25.04.530;-;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;done loading image;
2000-01-01-03.25.34.542;AES C;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;starting external rounds;
2000-01-01-03.25.34.567;AES C;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;starting round;
2000-01-01-03.26.56.985;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;7724;
2000-01-01-03.26.56.988;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;5355;
2000-01-01-03.26.56.991;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;2;3916;
2000-01-01-03.26.56.993;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;3;3638;
2000-01-01-03.26.56.995;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;4;3629;
2000-01-01-03.26.56.997;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;5;3601;
2000-01-01-03.26.57.000;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;6;3753;
2000-01-01-03.26.57.002;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;7;3597;
2000-01-01-03.26.57.005;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;8;3596;
2000-01-01-03.26.57.007;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;9;3601;
2000-01-01-03.26.57.010;AES C;times for ext round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;82414;
2000-01-01-03.26.57.067;AES C;encrypt;/sdcard/Download/testimages/1024x1024baby.png;1;starting round;
2000-01-01-03.28.20.369;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;6432;
2000-01-01-03.28.20.371;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;3603;
2000-01-01-03.28.20.375;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;2;3750;
2000-01-01-03.28.20.377;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;3;3747;
2000-01-01-03.28.20.379;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;4;3605;
2000-01-01-03.28.20.382;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;5;3601;
2000-01-01-03.28.20.385;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;6;3601;
2000-01-01-03.28.20.387;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;7;5881;
2000-01-01-03.28.20.389;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;8;5082;
2000-01-01-03.28.20.391;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;9;3981;
2000-01-01-03.28.20.395;AES C;times for ext round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;83283;
2000-01-01-03.28.20.445;AES C;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;done with cipher;
2000-01-01-03.28.50.467;AES Java;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;starting external rounds;
2000-01-01-03.28.50.479;AES Java;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;starting round;
2000-01-01-03.29.44.313;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;2889;
2000-01-01-03.29.44.317;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;1695;
2000-01-01-03.29.44.339;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;2;1593;
2000-01-01-03.29.44.341;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;3;1360;
2000-01-01-03.29.44.343;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;4;1168;
2000-01-01-03.29.44.368;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;5;988;
2000-01-01-03.29.44.374;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;6;1017;
2000-01-01-03.29.44.383;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;7;1025;
2000-01-01-03.29.44.384;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;8;1111;
2000-01-01-03.29.44.385;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;9;978;
2000-01-01-03.29.44.386;AES Java;times for ext round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;53830;
2000-01-01-03.29.44.393;AES Java;encrypt;/sdcard/Download/testimages/1024x1024baby.png;1;starting round;
2000-01-01-03.30.38.021;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;2937;
2000-01-01-03.30.38.023;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;1462;
2000-01-01-03.30.38.028;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;2;1384;
2000-01-01-03.30.38.030;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;3;1730;
2000-01-01-03.30.38.046;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;4;1149;
2000-01-01-03.30.38.064;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;5;968;
2000-01-01-03.30.38.071;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;6;994;
2000-01-01-03.30.38.073;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;7;986;
2000-01-01-03.30.38.076;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;8;1008;
2000-01-01-03.30.38.081;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;9;1000;
2000-01-01-03.30.38.083;AES Java;times for ext round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;53625;
