timestamp;cipher;mode;file;rounds;message;
2017-06-27-11.47.53.479;test cipher aes 256bit;encrypt;Provider Test;1;128 bit test: passed192 bit test: passed256 bit test: passedTests completed;
2017-06-27-11.48.06.899;-;-;-;0;running for 2 ext rounds and 3 internal rounds;
2017-06-27-11.48.06.900;-;encrypt;-;0;start for images;
2017-06-27-11.48.07.230;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2017-06-27-11.48.10.255;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.48.10.357;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-11.48.17.598;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;1317;
2017-06-27-11.48.17.622;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;954;
2017-06-27-11.48.17.623;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;935;
2017-06-27-11.48.17.624;AES C;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;7207;
2017-06-27-11.48.17.634;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;1;starting round;
2017-06-27-11.48.24.959;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;1162;
2017-06-27-11.48.24.964;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;988;
2017-06-27-11.48.24.988;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;1164;
2017-06-27-11.48.24.998;AES C;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;7316;
2017-06-27-11.48.25.028;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-11.48.28.031;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.48.28.031;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-11.48.33.283;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;309;
2017-06-27-11.48.33.284;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;539;
2017-06-27-11.48.33.285;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;400;
2017-06-27-11.48.33.286;AES Java;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;5250;
2017-06-27-11.48.33.311;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;1;starting round;
2017-06-27-11.48.38.475;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;388;
2017-06-27-11.48.38.497;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;324;
2017-06-27-11.48.38.502;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;419;
2017-06-27-11.48.38.524;AES Java;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;5131;
2017-06-27-11.48.38.577;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-11.48.41.586;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.48.41.587;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-11.49.29.773;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;15136;
2017-06-27-11.49.29.776;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;14686;
2017-06-27-11.49.29.780;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;14347;
2017-06-27-11.49.29.783;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;48171;
2017-06-27-11.49.29.829;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;1;starting round;
2017-06-27-11.50.18.945;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;15088;
2017-06-27-11.50.18.974;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;15455;
2017-06-27-11.50.18.974;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;14562;
2017-06-27-11.50.18.975;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;49112;
2017-06-27-11.50.18.981;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-11.50.21.988;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.50.21.990;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-11.50.39.806;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;4991;
2017-06-27-11.50.39.811;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;4438;
2017-06-27-11.50.39.909;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;4383;
2017-06-27-11.50.39.911;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;17813;
2017-06-27-11.50.39.937;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;1;starting round;
2017-06-27-11.50.57.113;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;4494;
2017-06-27-11.50.57.115;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;4356;
2017-06-27-11.50.57.116;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;4325;
2017-06-27-11.50.57.116;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;17174;
2017-06-27-11.50.57.129;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-11.50.57.130;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with image;
2017-06-27-11.50.57.131;-;encrypt;-;0;done with mode;
