timestamp;cipher;mode;file;rounds;message;
2017-06-22-07.04.18.837;-;-;-;0;running for 2 ext rounds and 3 internal rounds;
2017-06-22-07.04.18.838;-;encrypt;-;0;start for images;
2017-06-22-07.04.21.845;-;encrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;done loading image;
2017-06-22-07.04.21.848;Image Cipher 1;encrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;starting external rounds;
2017-06-22-07.04.21.850;Image Cipher 1;encrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;starting round;
2017-06-22-07.04.26.693;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;55;
2017-06-22-07.04.26.695;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;1;24;
2017-06-22-07.04.26.697;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;2;13;
2017-06-22-07.04.26.699;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;4839;
2017-06-22-07.04.32.927;Image Cipher 1;encrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;1;starting round;
2017-06-22-07.04.37.833;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;55;
2017-06-22-07.04.37.846;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;1;29;
2017-06-22-07.04.37.853;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;2;15;
2017-06-22-07.04.37.858;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;1;4898;
2017-06-22-07.04.37.866;Image Cipher 1;encrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;done with cipher;
2017-06-22-07.04.37.870;-;encrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;done with image;
2017-06-22-07.04.37.872;-;encrypt;-;0;done with mode;
2017-06-22-07.04.37.877;-;decrypt;-;0;start for images;
2017-06-22-07.04.37.897;-;decrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;done loading image;
2017-06-22-07.04.37.898;Image Cipher 1;decrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;starting external rounds;
2017-06-22-07.04.37.899;Image Cipher 1;decrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;starting round;
2017-06-22-07.04.37.900;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;0;
2017-06-22-07.04.37.901;Image Cipher 1;decrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;1;starting round;
2017-06-22-07.04.37.902;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;1;0;
2017-06-22-07.04.37.903;Image Cipher 1;decrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;done with cipher;
2017-06-22-07.04.37.904;-;decrypt;/sdcard/Download/testimages/25x25image.jpg.decrypted.png;0;done with image;
2017-06-22-07.04.37.905;-;decrypt;-;0;done with mode;
