timestamp;cipher;mode;file;rounds;message;
2017-06-27-11.54.38.166;-;-;-;0;running for 1 ext rounds and 1 internal rounds;
2017-06-27-11.54.38.167;-;encrypt;-;0;start for images;
2017-06-27-11.54.38.462;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2017-06-27-11.54.41.474;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.54.41.506;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-11.54.47.074;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;1522;
2017-06-27-11.54.47.076;AES C;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;5524;
2017-06-27-11.54.47.143;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-11.54.50.155;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.54.50.157;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-11.54.54.663;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;473;
2017-06-27-11.54.54.665;AES Java;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;4474;
2017-06-27-11.54.54.705;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-11.54.57.722;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.54.57.733;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-11.55.16.248;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;14509;
2017-06-27-11.55.16.252;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;18510;
2017-06-27-11.55.16.279;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-11.55.19.298;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-11.55.19.329;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-11.55.28.449;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;5115;
2017-06-27-11.55.28.450;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;9116;
2017-06-27-11.55.28.459;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-11.55.28.460;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with image;
2017-06-27-11.55.28.491;-;encrypt;-;0;done with mode;
