timestamp;cipher;mode;file;rounds;message;
2017-06-27-12.20.38.392;-;-;-;0;running for 1 ext rounds and 1 internal rounds;
2017-06-27-12.20.38.393;-;encrypt;-;0;start for images;
2017-06-27-12.20.38.747;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2017-06-27-12.21.08.748;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-12.21.08.749;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.21.50.906;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;2155;
2017-06-27-12.21.50.909;AES C;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;42155;
2017-06-27-12.21.50.935;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-12.22.20.948;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-12.22.20.951;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.23.01.441;AES Java;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;480;
2017-06-27-12.23.01.497;AES Java;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;40486;
2017-06-27-12.23.01.568;AES Java;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-12.23.31.576;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-12.23.31.577;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.24.27.696;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;16117;
2017-06-27-12.24.27.697;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;56117;
2017-06-27-12.24.27.710;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-12.24.57.718;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-27-12.24.57.720;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-27-12.25.43.594;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;5858;
2017-06-27-12.25.43.596;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;45870;
2017-06-27-12.25.43.700;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-27-12.25.43.701;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with image;
2017-06-27-12.25.43.724;-;encrypt;-;0;done with mode;
