timestamp;cipher;mode;file;rounds;message;
2017-06-22-16.28.39.075;-;-;-;0;running for 100 ext rounds and 10 internal rounds;
2017-06-22-16.28.39.076;-;encrypt;-;0;start for images;
2017-06-22-16.28.39.368;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2017-06-22-16.29.09.371;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-22-16.29.09.373;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-22-16.30.02.045;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;2745;
2017-06-22-16.30.02.049;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;1031;
2017-06-22-16.30.02.051;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;1344;
2017-06-22-16.30.02.053;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;3;1411;
2017-06-22-16.30.02.055;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;4;901;
2017-06-22-16.30.02.059;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;5;1630;
2017-06-22-16.30.02.061;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;6;902;
2017-06-22-16.30.02.063;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;7;901;
2017-06-22-16.30.02.065;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;8;902;
2017-06-22-16.30.02.070;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;9;900;
2017-06-22-16.30.02.073;AES C;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;52667;
2017-06-22-16.30.02.084;AES C;encrypt;/sdcard/Download/testimages/512x512Lenna.png;1;starting round;
2017-06-22-16.30.55.070;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;1983;
2017-06-22-16.30.55.093;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;1582;
2017-06-22-16.30.55.093;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;2;903;
2017-06-22-16.30.55.094;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;3;1443;
2017-06-22-16.30.55.094;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;4;2140;
2017-06-22-16.30.55.095;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;5;1118;
2017-06-22-16.30.55.095;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;6;1044;
2017-06-22-16.30.55.144;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;7;965;
2017-06-22-16.30.55.145;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;8;902;
2017-06-22-16.30.55.145;AES C;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;9;901;
2017-06-22-16.30.55.146;AES C;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;52984;
