timestamp;cipher;mode;file;rounds;message;
2017-06-22-16.08.06.123;-;-;-;0;running for 2 ext rounds and 2 internal rounds;
2017-06-22-16.08.06.128;-;encrypt;-;0;start for images;
2017-06-22-16.08.06.521;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2017-06-22-16.08.46.529;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-22-16.08.46.533;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-22-16.10.57.505;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;45947;
2017-06-22-16.10.57.548;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;45002;
2017-06-22-16.10.57.619;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;130951;
2017-06-22-16.10.57.629;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;1;starting round;
2017-06-22-16.13.10.863;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;46499;
2017-06-22-16.13.10.866;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;46731;
2017-06-22-16.13.10.868;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;133232;
2017-06-22-16.13.10.878;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-22-16.13.50.882;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2017-06-22-16.13.50.883;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2017-06-22-16.14.41.042;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;5524;
2017-06-22-16.14.41.044;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;4631;
2017-06-22-16.14.41.048;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;50156;
2017-06-22-16.14.41.058;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;1;starting round;
2017-06-22-16.15.31.127;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;5750;
2017-06-22-16.15.31.149;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;4311;
2017-06-22-16.15.31.149;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;1;50064;
2017-06-22-16.15.31.154;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2017-06-22-16.15.31.155;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with image;
2017-06-22-16.15.31.156;-;encrypt;-;0;done with mode;
