timestamp;cipher;mode;file;rounds;message;
2017-06-22-16.22.18.529;-;-;-;0;running for 2 ext rounds and 3 internal rounds;
2017-06-22-16.22.18.530;-;encrypt;-;0;start for images;
2017-06-22-16.22.18.542;-;encrypt;/sdcard/Download/testimages/32x32image.png;0;done loading image;
2017-06-22-16.22.20.044;AES C;encrypt;/sdcard/Download/testimages/32x32image.png;0;starting external rounds;
2017-06-22-16.22.20.048;AES C;encrypt;/sdcard/Download/testimages/32x32image.png;0;starting round;
2017-06-22-16.22.22.145;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;31;
2017-06-22-16.22.22.148;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;30;
2017-06-22-16.22.22.152;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;31;
2017-06-22-16.22.22.155;AES C;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;0;2093;
2017-06-22-16.22.22.165;AES C;encrypt;/sdcard/Download/testimages/32x32image.png;1;starting round;
2017-06-22-16.22.24.260;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;31;
2017-06-22-16.22.24.262;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;30;
2017-06-22-16.22.24.266;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;30;
2017-06-22-16.22.24.268;AES C;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;1;2091;
2017-06-22-16.22.24.278;AES C;encrypt;/sdcard/Download/testimages/32x32image.png;0;done with cipher;
2017-06-22-16.22.25.783;Image Cipher 1;encrypt;/sdcard/Download/testimages/32x32image.png;0;starting external rounds;
2017-06-22-16.22.25.785;Image Cipher 1;encrypt;/sdcard/Download/testimages/32x32image.png;0;starting round;
2017-06-22-16.22.28.094;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;181;
2017-06-22-16.22.28.099;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;65;
2017-06-22-16.22.28.101;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;37;
2017-06-22-16.22.28.103;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;0;2285;
2017-06-22-16.22.28.112;Image Cipher 1;encrypt;/sdcard/Download/testimages/32x32image.png;1;starting round;
2017-06-22-16.22.30.358;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;145;
2017-06-22-16.22.30.364;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;62;
2017-06-22-16.22.30.367;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;36;
2017-06-22-16.22.30.369;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;1;2244;
2017-06-22-16.22.30.379;Image Cipher 1;encrypt;/sdcard/Download/testimages/32x32image.png;0;done with cipher;
2017-06-22-16.22.31.883;Image Cipher 2;encrypt;/sdcard/Download/testimages/32x32image.png;0;starting external rounds;
2017-06-22-16.22.31.885;Image Cipher 2;encrypt;/sdcard/Download/testimages/32x32image.png;0;starting round;
2017-06-22-16.22.34.077;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;123;
2017-06-22-16.22.34.079;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;36;
2017-06-22-16.22.34.082;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;27;
2017-06-22-16.22.34.085;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;0;2187;
2017-06-22-16.22.34.093;Image Cipher 2;encrypt;/sdcard/Download/testimages/32x32image.png;1;starting round;
2017-06-22-16.22.36.275;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;121;
2017-06-22-16.22.36.283;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;28;
2017-06-22-16.22.36.285;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;28;
2017-06-22-16.22.36.288;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;1;2178;
2017-06-22-16.22.36.296;Image Cipher 2;encrypt;/sdcard/Download/testimages/32x32image.png;0;done with cipher;
2017-06-22-16.22.36.298;-;encrypt;/sdcard/Download/testimages/32x32image.png;0;done with image;
2017-06-22-16.22.36.301;-;encrypt;-;0;done with mode;
2017-06-22-16.22.36.308;-;decrypt;-;0;start for images;
2017-06-22-16.22.36.323;-;decrypt;/sdcard/Download/testimages/32x32image.png;0;done loading image;
2017-06-22-16.22.37.826;AES C;decrypt;/sdcard/Download/testimages/32x32image.png;0;starting external rounds;
2017-06-22-16.22.37.829;AES C;decrypt;/sdcard/Download/testimages/32x32image.png;0;starting round;
2017-06-22-16.22.39.916;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;28;
2017-06-22-16.22.39.918;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;28;
2017-06-22-16.22.39.922;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;27;
2017-06-22-16.22.39.925;AES C;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;0;2083;
2017-06-22-16.22.39.933;AES C;decrypt;/sdcard/Download/testimages/32x32image.png;1;starting round;
2017-06-22-16.22.42.023;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;28;
2017-06-22-16.22.42.025;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;28;
2017-06-22-16.22.42.029;AES C;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;31;
2017-06-22-16.22.42.031;AES C;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;1;2087;
2017-06-22-16.22.42.042;AES C;decrypt;/sdcard/Download/testimages/32x32image.png;0;done with cipher;
2017-06-22-16.22.43.545;Image Cipher 1;decrypt;/sdcard/Download/testimages/32x32image.png;0;starting external rounds;
2017-06-22-16.22.43.548;Image Cipher 1;decrypt;/sdcard/Download/testimages/32x32image.png;0;starting round;
2017-06-22-16.22.45.851;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;0;196;
2017-06-22-16.22.45.854;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;1;62;
2017-06-22-16.22.45.857;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/32x32image.png;2;42;
2017-06-22-16.22.45.859;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/32x32image.png;0;2300;
2017-06-22-16.22.45.868;Image Cipher 1;decrypt;/sdcard/Download/testimages/32x32image.png;1;starting round;
