timestamp;cipher;mode;file;rounds;message;
2017-06-27-15.13.06.732;-;-;-;0;running for 2 ext rounds and 3 internal rounds;
2017-06-27-15.13.06.733;-;encrypt;-;0;start for images;
2017-06-27-15.13.07.928;-;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;done loading image;
2017-06-27-15.13.37.939;AES C;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;starting external rounds;
2017-06-27-15.13.37.941;AES C;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;starting round;
2017-06-27-15.14.32.152;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;6835;
2017-06-27-15.14.32.157;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;3642;
2017-06-27-15.14.32.159;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;2;3725;
2017-06-27-15.14.32.161;AES C;times for ext round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;54203;
2017-06-27-15.14.32.268;AES C;encrypt;/sdcard/Download/testimages/1024x1024baby.png;1;starting round;
2017-06-27-15.15.27.874;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;6120;
2017-06-27-15.15.27.876;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;4701;
2017-06-27-15.15.27.883;AES C;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;2;4780;
2017-06-27-15.15.27.885;AES C;times for ext round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;55603;
2017-06-27-15.15.27.927;AES C;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;done with cipher;
2017-06-27-15.15.57.934;AES Java;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;starting external rounds;
2017-06-27-15.15.58.019;AES Java;encrypt;/sdcard/Download/testimages/1024x1024baby.png;0;starting round;
2017-06-27-15.16.44.259;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;2768;
2017-06-27-15.16.44.262;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;2478;
2017-06-27-15.16.44.264;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;2;987;
2017-06-27-15.16.44.267;AES Java;times for ext round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;46237;
2017-06-27-15.16.44.292;AES Java;encrypt;/sdcard/Download/testimages/1024x1024baby.png;1;starting round;
2017-06-27-15.17.29.744;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;0;2677;
2017-06-27-15.17.29.747;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;1669;
2017-06-27-15.17.29.753;AES Java;times for inner round in ms;/sdcard/Download/testimages/1024x1024baby.png;2;1101;
2017-06-27-15.17.29.755;AES Java;times for ext round in ms;/sdcard/Download/testimages/1024x1024baby.png;1;45449;
