timestamp;cipher;mode;file;rounds;message;
2000-01-01-04.53.09.790;-;-;-;0;running for 1 ext rounds and 1 internal rounds;
2000-01-01-04.53.09.791;-;encrypt;-;0;start for images;
2000-01-01-04.53.10.293;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2000-01-01-04.53.40.305;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2000-01-01-04.53.40.307;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2000-01-01-04.55.06.625;Image Cipher 1;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;46310;
2000-01-01-04.55.06.627;Image Cipher 1;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;86314;
2000-01-01-04.55.06.655;Image Cipher 1;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
2000-01-01-04.55.06.688;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with image;
2000-01-01-04.55.06.720;-;encrypt;-;0;done with mode;
2000-01-01-05.08.54.414;-;-;-;0;running for 1 ext rounds and 1 internal rounds;
2000-01-01-05.08.54.415;-;encrypt;-;0;start for images;
2000-01-01-05.08.54.905;-;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done loading image;
2000-01-01-05.09.24.913;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting external rounds;
2000-01-01-05.09.24.921;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;starting round;
2000-01-01-05.10.13.546;Image Cipher 2;times for inner round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;8595;
2000-01-01-05.10.13.548;Image Cipher 2;times for ext round in ms;/sdcard/Download/testimages/512x512Lenna.png;0;48596;
2000-01-01-05.10.13.596;Image Cipher 2;encrypt;/sdcard/Download/testimages/512x512Lenna.png;0;done with cipher;
